code001 	 rank = 30 	 PSNR_value = 28.356399 
code001 	 rank = 50 	 PSNR_value = 33.083337 
code001 	 rank = 70 	 PSNR_value = 37.509413 
code001 	 rank = 90 	 PSNR_value = 41.820842 
code001 	 rank = 110 	 PSNR_value = 45.968785 
code001 	 rank = 130 	 PSNR_value = 50.159364 
code001 	 rank = 150 	 PSNR_value = 54.751570 
code001 	 rank = 170 	 PSNR_value = 59.809857 
code001 	 rank = 190 	 PSNR_value = 65.928886 
code001 	 rank = 210 	 PSNR_value = 73.770630 
code001 	 rank = 230 	 PSNR_value = 86.115621 
code001 	 rank = 250 	 PSNR_value = 119.956928 

code001 	 rank = 1 	 PSNR_value = 14.491942 
code001 	 rank = 2 	 PSNR_value = 16.368253 
code001 	 rank = 3 	 PSNR_value = 17.992389 
code001 	 rank = 4 	 PSNR_value = 18.682874 
code001 	 rank = 5 	 PSNR_value = 19.426342 
code001 	 rank = 6 	 PSNR_value = 20.004979 
code001 	 rank = 7 	 PSNR_value = 20.634591 
code001 	 rank = 8 	 PSNR_value = 21.033074 
code001 	 rank = 9 	 PSNR_value = 21.455767 
code001 	 rank = 10 	 PSNR_value = 21.861151 
code001 	 rank = 11 	 PSNR_value = 22.306596 
code001 	 rank = 12 	 PSNR_value = 22.731295 
code001 	 rank = 13 	 PSNR_value = 23.130425 
code001 	 rank = 14 	 PSNR_value = 23.604812 
code001 	 rank = 15 	 PSNR_value = 24.001569 
code001 	 rank = 16 	 PSNR_value = 24.339710 
code001 	 rank = 17 	 PSNR_value = 24.677746 
code001 	 rank = 18 	 PSNR_value = 25.035676 
code001 	 rank = 19 	 PSNR_value = 25.347172 
code001 	 rank = 20 	 PSNR_value = 25.662980 
code001 	 rank = 21 	 PSNR_value = 25.965102 
code001 	 rank = 22 	 PSNR_value = 26.286274 
code001 	 rank = 23 	 PSNR_value = 26.567142 
code001 	 rank = 24 	 PSNR_value = 26.846905 
code001 	 rank = 25 	 PSNR_value = 27.108566 
code001 	 rank = 26 	 PSNR_value = 27.368871 
code001 	 rank = 27 	 PSNR_value = 27.610349 
code001 	 rank = 28 	 PSNR_value = 27.855684 
code001 	 rank = 29 	 PSNR_value = 28.096605 
